CIRC.;CANTON;BUREAU;INSCRITS;VOTANTS;NULS;EXPRIMES;ABSTENTIONS;TOULOUSE POUR TOUS AVEC PHILPPE DOUSTE BLAZY;AVEC FRANCOIS SIMON TOULOUSE EN MOUVEMENT
1;1;4;826;580;9;571;246;417;154
1;1;13;896;611;24;587;285;279;308
1;5;75;1007;679;23;656;328;296;360
1;5;76;938;638;24;614;300;327;287
1;7;111;835;551;22;529;284;304;225
1;7;112;849;558;14;544;291;289;255
2;6;88;1000;680;29;651;320;325;326
2;8;120;962;628;18;610;334;398;212
2;8;122;977;665;12;653;312;467;186
2;8;124;1084;741;13;728;343;516;212
2;15;215;851;488;19;469;363;169;300
3;9;136;734;507;14;493;227;306;187
3;9;144;1074;708;27;681;366;395;286
3;10;164;1023;578;16;562;445;266;296
4;11;;749;482;16;466;267;259;207
6;12;200;885;604;22;582;281;347;235
2;6;98;701;508;28;480;193;251;229
3;9;;912;667;25;642;245;343;299
3;10;157;1008;670;20;650;338;358;292
4;2;19;843;586;19;567;257;350;217
4;3;33;990;664;26;638;326;328;310
4;3;44;1102;782;25;757;320;388;369
1;1;1;1035;627;11;616;408;356;260
1;4;62;860;556;8;548;304;325;223
1;5;84;809;522;15;507;287;283;224
1;7;106;847;531;16;515;316;284;231
2;8;123;984;644;11;633;340;357;276
3;10;153;725;348;14;334;377;156;178
4;2;32;755;539;12;527;216;380;147
4;3;51;908;615;20;595;293;313;282
4;11;181;849;543;20;523;306;287;236
5;14;208;825;584;21;563;241;325;238
2;8;126;873;606;16;590;267;362;228
2;15;216;897;582;17;565;315;298;267
2;15;217;1081;703;19;684;378;371;313
3;9;131;872;562;30;532;310;336;196
3;9;135;948;664;23;641;284;398;243
3;10;159;984;648;41;607;336;320;287
4;2;18;1044;696;13;683;348;388;295
4;2;27;934;615;19;596;319;335;261
4;3;34;931;675;29;646;256;327;319
4;3;42;978;696;17;679;282;370;309
4;3;46;1131;747;26;721;384;392;329
5;13;;931;603;11;592;328;355;237
6;12;184;878;477;13;464;401;208;256
1;4;59;769;569;14;555;200;292;263
1;4;67;1277;898;23;875;379;473;402
1;5;78;758;539;22;517;219;312;205
1;7;108;855;597;18;579;258;368;211
2;15;219;1002;667;33;634;335;363;271
3;9;133;817;558;16;542;259;303;239
3;9;142;820;473;10;463;347;317;146
3;10;156;659;380;13;367;279;199;168
3;10;165;1243;917;35;882;326;442;440
4;2;25;1053;704;19;685;349;315;370
4;2;28;921;590;19;571;331;312;259
4;3;35;950;640;23;617;310;252;365
6;12;190;645;310;7;303;335;105;198
6;12;192;744;501;23;478;243;232;246
1;7;100;881;539;16;523;342;209;314
2;6;94;819;537;31;506;282;250;256
2;8;128;702;435;22;413;267;234;179
3;9;;988;652;24;628;336;312;316
3;9;139;1053;690;26;664;363;385;279
3;10;163;922;619;24;595;303;296;299
4;3;36;1077;709;17;692;368;362;330
1;1;5;707;506;13;493;201;321;172
1;1;8;1001;664;14;650;337;374;276
1;7;;905;602;24;578;303;331;247
1;7;117;921;600;18;582;321;313;269
2;15;218;964;666;19;647;298;368;279
3;9;148;889;579;17;562;310;330;232
4;11;173;850;550;28;522;300;285;237
1;5;81;1015;653;22;631;362;323;308
2;6;93;995;650;26;624;345;306;318
3;10;154;848;499;20;479;349;263;216
4;2;29;913;608;16;592;305;340;252
4;2;30;814;544;13;531;270;389;142
4;3;50;888;599;20;579;289;302;277
4;11;169;766;464;20;444;302;240;204
4;11;170;755;521;22;499;234;304;195
4;11;179;666;436;14;422;230;225;197
5;13;205;967;678;32;646;289;324;322
5;14;211;1213;837;31;806;376;470;336
6;12;201;927;653;28;625;274;386;239
1;7;116;1018;676;42;634;342;360;274
2;6;99;626;422;14;408;204;223;185
4;3;40;894;564;19;545;330;309;236
6;12;;963;655;18;637;308;343;294
1;1;11;988;664;21;643;324;413;230
1;5;77;734;513;18;495;221;285;210
1;7;102;719;440;14;426;279;251;175
1;7;104;991;688;24;664;303;378;286
1;7;110;840;571;25;546;269;290;256
2;8;118;870;558;14;544;312;332;212
2;8;127;715;473;18;455;242;284;171
3;9;132;855;554;17;537;301;302;235
5;14;207;906;630;25;605;276;336;269
5;14;210;614;409;9;400;205;246;154
6;12;189;885;538;18;520;347;259;261
1;1;16;828;558;15;543;270;305;238
1;5;80;831;549;18;531;282;307;224
1;5;85;711;447;8;439;264;243;196
3;9;147;916;663;41;622;253;335;287
4;3;47;763;548;15;533;215;290;243
6;12;193;638;406;10;396;232;209;187
1;1;15;903;608;13;595;295;334;261
1;1;17;853;569;19;550;284;295;255
1;4;64;903;618;25;593;285;330;263
1;5;82;785;498;16;482;287;313;169
2;6;92;987;651;30;621;336;357;264
3;9;145;966;662;20;642;304;294;348
4;3;52;918;599;12;587;319;333;254
4;11;166;977;682;21;661;295;350;311
1;1;3;706;467;17;450;239;301;149
1;1;6;932;622;13;609;310;283;326
1;4;;658;409;18;391;249;215;176
1;4;58;1108;728;32;696;380;349;347
1;4;61;746;488;14;474;258;256;218
1;4;71;928;610;32;578;318;289;289
1;7;107;904;630;19;611;274;355;256
2;15;214;929;698;44;654;231;351;303
3;10;151;782;526;23;503;256;245;258
3;10;162;963;618;27;591;345;317;274
4;2;31;842;562;19;543;280;363;180
4;3;37;1072;751;34;717;321;387;330
4;11;176;737;366;16;350;371;117;233
5;13;204;884;635;26;609;249;297;312
6;12;185;647;350;8;342;297;154;188
1;4;55;716;514;24;490;202;249;241
1;4;60;692;441;14;427;251;259;168
1;4;70;696;516;11;505;180;283;222
1;7;;860;612;21;591;248;314;277
1;7;115;651;412;13;399;239;222;177
2;6;91;993;622;27;595;371;312;283
3;9;137;934;680;20;660;254;372;288
4;3;39;1023;737;25;712;286;373;339
1;1;14;1069;722;14;708;347;392;316
1;4;56;767;509;14;495;258;265;230
1;7;105;777;552;22;530;225;294;236
2;15;213;826;541;27;514;285;285;229
3;10;150;970;679;34;645;291;315;330
4;3;38;1033;706;26;680;327;321;359
4;11;167;940;591;23;568;349;306;262
4;11;180;636;382;23;359;254;215;144
6;12;187;448;276;8;268;172;111;157
1;1;12;930;608;20;588;322;383;205
1;4;53;942;625;27;598;317;316;282
1;4;57;578;388;11;377;190;230;147
1;4;66;786;529;19;510;257;316;194
1;4;68;807;549;15;534;258;331;203
1;7;109;969;638;22;616;331;376;240
3;9;146;823;569;30;539;254;250;289
3;10;155;772;445;20;425;327;224;201
3;10;158;989;646;26;620;343;300;320
4;2;22;899;619;22;597;280;367;230
4;3;43;780;581;19;562;199;296;266
6;12;;541;338;13;325;203;164;161
6;12;;1024;714;21;693;310;330;363
6;12;198;1160;858;29;829;302;528;301
1;5;74;643;453;5;448;190;283;165
1;5;86;892;603;22;581;289;290;291
2;8;119;904;616;17;599;288;418;181
2;8;125;874;602;21;581;272;391;190
2;15;221;1162;838;46;792;324;406;386
3;9;134;771;545;20;525;226;354;171
3;10;160;941;608;18;590;333;330;260
4;2;24;1065;674;25;649;391;309;340
4;11;168;664;461;24;437;203;219;218
4;11;172;745;455;13;442;290;239;203
4;11;174;823;570;15;555;253;293;262
4;11;178;801;501;14;487;300;291;196
6;12;186;739;338;10;328;401;104;224
3;10;152;982;584;19;565;398;270;295
4;3;49;598;428;13;415;170;204;211
1;5;79;659;422;14;408;237;201;207
2;6;96;837;568;32;536;269;249;287
3;9;141;987;654;23;631;333;384;247
4;2;26;768;519;20;499;249;300;199
4;3;;775;522;25;497;253;301;196
6;12;197;1000;746;24;722;254;397;325
1;4;63;731;429;17;412;302;178;234
1;5;83;915;622;22;600;293;397;203
2;8;121;1013;698;15;683;315;420;263
2;8;130;1314;886;38;848;428;442;406
4;11;182;805;558;21;537;247;312;225
5;14;206;671;501;17;484;170;262;222
6;12;;748;504;21;483;244;216;267
1;4;54;660;453;22;431;207;203;228
1;4;69;690;484;22;462;206;266;196
3;9;143;963;629;25;604;334;373;231
3;10;149;903;595;26;569;308;291;278
4;2;21;852;592;18;574;260;417;157
4;2;23;1122;691;30;661;431;336;325
4;11;175;763;407;14;393;356;206;187
5;13;202;891;517;11;506;374;273;233
5;14;209;958;642;22;620;316;332;288
6;12;194;862;625;16;609;237;286;323
1;1;2;566;365;9;356;201;208;148
1;1;9;1075;695;19;676;380;366;310
1;1;10;1103;684;19;665;419;393;272
1;4;65;862;532;12;520;330;318;202
1;7;114;690;423;12;411;267;204;207
2;6;89;1023;651;18;633;372;359;274
3;9;140;1028;661;16;645;367;386;259
4;2;20;853;608;18;590;245;392;198
4;11;171;819;482;17;465;337;231;234
6;12;;891;608;19;589;283;349;240
1;7;103;853;561;25;536;292;273;263
2;6;87;946;632;16;616;314;336;280
2;6;95;945;614;17;597;331;315;282
3;9;138;875;638;15;623;237;380;243
4;3;41;1041;731;29;702;310;370;332
4;11;183;873;636;13;623;237;417;206
5;14;212;329;197;10;187;132;117;70
6;12;191;860;447;3;444;413;174;270
6;12;195;1066;722;28;694;344;391;303
6;12;196;1138;811;24;787;327;433;354
1;1;7;725;487;11;476;238;223;253
1;5;72;987;625;16;609;362;315;294
1;5;73;988;664;15;649;324;348;301
1;7;101;747;506;18;488;241;210;278
1;7;113;800;485;17;468;315;212;256
2;6;90;975;605;26;579;370;294;285
2;8;129;854;551;18;533;303;277;256
2;15;220;986;656;24;632;330;364;268
2;15;;1125;725;34;691;400;412;279
3;10;161;959;657;22;635;302;351;284
4;3;45;822;527;16;511;295;252;259
4;11;177;792;508;21;487;284;245;242
6;12;188;565;376;13;363;189;197;166
6;12;199;524;338;12;326;186;185;141
2;6;97;659;457;18;439;202;219;220
4;3;48;786;512;10;502;274;250;252
5;13;203;614;419;6;413;195;283;130
